Overall Average Precision: ,0.631071297653959, breakdown: ,"[0.65625, 0.7096774193548387, 0.5454545454545454, 0.6129032258064516]"
Overall Average Recall: ,0.6666666666666666, breakdown: ,"[0.7, 0.7333333333333333, 0.6, 0.6333333333333333]"
Precisions: ,"{0: [0.75, 0.9166666666666666, 0.8, 0.9166666666666666], 1: [0.6666666666666666, 0.0, 1.0, 0.0], 2: [0.7142857142857143, 0.9, 0.5, 0.8], 3: [0.625, 0.2857142857142857, 0.5, 0.36363636363636365]}"
Average Precisions for each class: ,0.8458333333333333,0.41666666666666663,0.7285714285714286,0.44358766233766234
Accuracy of splits: ,[0.7        0.73333333 0.6        0.63333333]
Average results: ,0.6666666666666666
