Overall Average Precision: ,0.6728494623655914, breakdown: ,"[0.5806451612903226, 0.7666666666666667, 0.6774193548387096, 0.6666666666666666]"
Overall Average Recall: ,0.6833333333333332, breakdown: ,"[0.6, 0.7666666666666667, 0.7, 0.6666666666666666]"
Precisions: ,"{0: [0.8888888888888888, 1.0, 1.0, 1.0], 1: [0.2, 0.3333333333333333, 1.0, 0.16666666666666666], 2: [0.8, 1.0, 0.7777777777777778, 1.0], 3: [0.45454545454545453, 0.375, 0.5333333333333333, 0.2857142857142857]}"
Average Precisions for each class: ,0.9722222222222222,0.425,0.8944444444444445,0.41214826839826835
Accuracy of splits: ,[0.6        0.76666667 0.7        0.66666667]
Average results: ,0.6833333333333332
